RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
1,Gonzaga,WCC,32,31-1,125.9,90.9,0.9769,61,47.7,16.1,19.3,30.1,23.8,35.8,25.7,63.9,47,36.8,32.7,73.5,8.5
,"   1 seed, Finals",,,15–0,1,11,1,1,58,36,133,99,30,65,43,1,75,44,109,9,2
2,Baylor,B12,30,28-2,125.1,92.9,0.9683,56.5,48.9,16.5,24.4,37.3,30.6,26.5,31.3,53.2,48.7,41.3,32.9,67.7,6.7
,"   1 seed, CHAMPS",,,13–1,2,25,2,6,118,54,4,5,272,295,167,48,128,1,117,194,5
3,Houston,Amer,31,28-4,119.1,91.3,0.9555,50.4,43.9,16.2,21.1,39.8,27.9,31.3,41.2,49,43.4,34.8,29.9,64.3,4
,"   2 seed, Final Four",,,14–3,6,12,3,148,2,42,55,2,168,174,329,198,7,114,15,324,15
4,Illinois,B10,31,24-7,116.9,90.6,0.9491,55.6,46.5,18.1,16.1,32.2,22.1,37.9,30.1,55.4,45.1,37.2,32.9,70.5,8.8
,"   1 seed, R32",,,16–4,8,10,4,12,29,125,311,45,10,30,142,14,20,30,117,75,1
5,Michigan,B10,28,23-5,116.6,90.6,0.9477,54.7,44.4,16.6,14.8,29.6,24.7,30.4,24.3,53.5,42.6,38.1,32.2,66.6,7.1
,"   1 seed, Elite Eight",,,14–3,9,9,5,24,5,56,336,113,52,200,26,43,3,13,83,247,3
6,Iowa,B10,31,22-9,123.4,97.2,0.9399,54.7,48.8,13.3,16.1,30.9,29.1,32,22.2,52.6,46.6,38.6,34.8,69.8,5.5
,"   2 seed, R32",,,14–6,3,76,6,24,114,1,311,77,219,158,6,66,55,10,231,95,8
7,USC,P12,33,25-8,114.3,90.5,0.9362,52.7,44.9,18,16.9,35,28.3,36.3,24.1,52.2,42.1,36,33.3,66.8,5.5
