RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
,"   6 seed, Elite Eight",,,15–5,17,8,7,60,7,120,282,14,186,57,23,74,2,64,140,234,7
8,Colorado,P12,32,23-9,115.7,92.5,0.9292,52.4,47.9,17.1,19.8,30.8,25.5,29.5,29.1,50.4,46.8,37.3,33.3,66.1,4.9
,"   5 seed, R32",,,14–6,13,23,8,69,66,78,106,80,78,227,115,135,68,28,140,271,9
9,Alabama,SEC,33,26-7,112,89.7,0.9278,51.7,45.8,18.6,20.5,32.2,29.2,28.8,30.7,50.7,46.8,35.2,29.1,73.3,6.9
,"   2 seed, Sweet Sixteen",,,16–2,32,3,9,90,16,156,76,45,223,241,158,125,68,99,9,11,4
10,Florida St.,ACC,25,18-7,115.2,93.1,0.9211,54,46.1,20.4,19.5,34.4,31.7,32.4,35.2,52.7,44.5,37.6,32.5,69.6,2.4
,"   4 seed, Sweet Sixteen",,,11–4,14,27,10,36,24,250,126,22,299,152,263,63,11,21,98,99,26
11,Ohio St.,B10,31,21-10,120.4,97.3,0.9205,52.9,48.7,15.5,14.7,29.3,27,37.2,33.5,52.2,47.2,36,34,66.6,6
,"   2 seed, R64",,,12–8,4,79,11,58,108,15,338,118,141,38,216,74,82,64,183,244,6
12,Wisconsin,B10,31,18-13,112.5,91.3,0.9167,49.9,47.9,13.6,17.3,23.9,25.2,26.2,28.4,46.6,46.6,36.5,33.5,64.6,2.1
,"   9 seed, R32",,,10–10,28,13,12,174,66,3,264,277,67,298,96,284,55,52,147,318,30
13,Loyola Chicago,MVC,29,26-5,109.7,89.2,0.9151,55.7,47.2,18.3,21.5,27.1,20.9,31.5,22.7,57.2,46.3,35.4,32.5,63.4,1.8
,"   8 seed, Sweet Sixteen",,,16–2,51,2,13,10,45,137,49,187,3,171,10,5,46,88,98,335,33
14,Villanova,BE,25,18-7,118.5,96.8,0.9108,53.2,51,13.7,18.4,27.7,25.7,30,25.6,53.4,50.7,35.3,34.3,64.1,3.1
,"   5 seed, Sweet Sixteen",,,11–4,7,68,14,48,210,4,191,174,86,210,40,45,213,93,203,326,21
15,Connecticut,BE,23,15-8,114.1,93.5,0.908,49,46.7,17.5,19.6,37.4,29.5,29,36.8,48.3,45.8,33.5,32.4,65.2,2
,"   7 seed, R64",,,11–6,18,30,15,211,33,98,121,4,233,239,292,231,31,174,90,303,31
16,Texas Tech,B12,29,18-11,112,91.9,0.9067,49.4,47.7,16,23.7,33.4,30,37.9,35.6,47.8,45.5,35.3,34.2,65.3,0.9
,"   6 seed, R32",,,9–8,31,18,16,194,58,33,8,31,252,30,273,250,28,93,195,295,44
17,San Diego St.,MWC,27,23-5,111.3,91.5,0.9045,52.4,47.5,16.7,22.4,30.1,24.3,33.2,32.5,50.4,44.9,36.8,33.8,65.5,3.1
,"   6 seed, R64",,,14–3,35,15,17,69,54,61,22,99,39,124,196,135,18,44,169,291,20
18,UCLA,P12,32,22-10,116,95.6,0.9024,52,50.4,15.7,17.5,30.5,25.1,31.6,28.2,50.3,50.4,37.2,33.7,63.7,2.6
,"   11 seed, Final Four",,,13–6,11,54,18,82,187,23,254,87,63,165,92,142,197,30,163,332,24
19,Texas,B12,27,19-8,112.7,93.1,0.8999,52.9,46,20.7,17.8,31.1,27.5,33.9,35.9,52.5,45.3,35.6,31.7,68.7,4.2
,"   3 seed, R64",,,11–6,25,28,19,58,20,262,238,72,154,107,280,68,25,79,62,143,14
20,West Virginia,B12,29,19-10,116.2,96.5,0.8945,48.9,51,16.8,21,35.9,31.1,37.9,27.9,46.1,51.5,36.4,33.5,69.2,3
,"   3 seed, R32",,,11–6,10,66,20,217,210,66,57,8,282,30,85,294,245,55,147,118,22
21,Virginia,ACC,25,18-7,113.8,94.5,0.8943,55.4,48,15,15.2,22.7,22.6,21.7,24.7,54.9,46.2,37.5,33.9,59.7,3.5
,"   4 seed, R64",,,13–4,20,40,21,14,73,7,332,307,14,343,30,23,42,23,177,347,18
22,LSU,SEC,29,19-10,119.8,99.5,0.8941,52.3,48.5,15.6,17.9,31.4,32.1,34,29.8,52.4,51.3,34.7,30,70.3,2.3
,"   8 seed, R32",,,11–6,5,116,22,73,97,18,224,66,312,103,135,71,240,123,17,79,28
23,Memphis,Amer,28,20-8,104.6,87,0.8932,50.9,44.4,21.7,22,33.5,23.7,32.7,35.3,48.9,46.2,36.3,27.7,71.5,-1.1
,,,,11–4,120,1,23,121,5,308,34,30,28,143,267,203,42,58,2,40,65
24,Creighton,BE,31,22-9,112.6,93.6,0.8929,55,47,15.7,17.9,24.6,28.3,25.7,25.5,55.7,46.7,36.1,31.7,68.6,3.2
,"   5 seed, Sweet Sixteen",,,14–6,26,32,24,18,39,23,224,255,186,310,38,11,61,62,62,144,19
25,BYU,WCC,26,20-7,113,94,0.8924,54.9,46.9,19,15.7,28.7,23.4,27.9,29.4,54.8,45.8,36.7,32.8,67.8,3.6
,"   6 seed, R64",,,10–3,23,35,25,21,38,175,325,143,22,265,125,24,31,47,114,190,17
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
26,Arkansas,SEC,32,25-7,109.8,91.4,0.8915,50.7,47.9,17.1,20.1,31.7,26.5,32.7,29,51.2,46.3,33.2,33.6,72.5,4.6
,"   3 seed, Elite Eight",,,13–4,47,14,26,128,66,78,89,62,115,143,114,107,46,190,153,21,12
27,Tennessee,SEC,27,18-9,107.7,90,0.8874,49.6,46.3,18.2,22.8,31.3,28.7,34.4,30.6,49.6,44.9,33.1,32.4,66.7,2.3
,"   5 seed, R64",,,10–7,80,4,27,189,25,131,13,68,203,92,156,174,18,199,90,240,27
28,Arizona,P12,26,17-9,114.7,95.9,0.887,50.5,49.2,17.2,18,34.3,24.4,41.8,32.4,48.1,48,37.2,34.1,67.9,1.3
,,,,11–9,16,58,28,138,130,83,217,23,45,6,192,238,107,30,187,187,37
29,Purdue,B10,28,18-10,112.3,94.3,0.8822,51,48.8,18.6,16.8,32.8,24.3,31.7,30.1,51.7,49.7,33.3,31.8,66.3,3.7
,"   4 seed, R64",,,13–6,30,37,29,119,114,156,288,35,39,163,142,89,161,181,66,258,16
30,Oregon,P12,28,21-7,115.9,97.5,0.8802,54.3,50.8,16.7,20.2,29,27.7,26,26.7,52.9,50.4,37.7,34.3,67.1,4.8
,"   7 seed, Sweet Sixteen",,,14–4,12,81,30,30,199,61,84,132,158,305,55,56,197,16,203,218,11
31,Kansas,B12,29,21-9,108.8,91.6,0.8788,49.4,48,17.1,20,30.5,26.8,29.8,26.8,48.9,46.7,33.6,33.5,68.1,4.3
,"   3 seed, R32",,,12–6,59,17,31,194,73,78,97,87,133,216,59,203,61,172,147,171,13
32,Duke,ACC,24,13-11,114.9,97.1,0.8737,53.6,51.3,18.4,19.9,32.2,29,23.4,31.9,54.1,50.3,35.1,35.6,68.3,-1.8
,,,,9–9,15,73,32,43,223,145,100,45,213,336,182,31,188,103,266,163,77
33,Georgia Tech,ACC,26,17-9,113.8,96.2,0.8735,54.1,52.4,16.1,22.7,24.4,30.4,28.4,28.9,55.2,50.8,34.8,36.9,67.3,1.8
,"   9 seed, R64",,,11–6,19,63,33,34,267,36,14,261,263,252,112,17,215,114,314,213,34
34,Maryland,B10,30,17-14,111.9,94.9,0.8697,53.2,48.7,16.7,16.8,20.6,26.5,31.8,25,53.3,46.2,35.3,34.8,64.8,0.1
,"   10 seed, R32",,,9–11,33,46,34,48,108,61,288,330,115,160,33,47,42,93,231,311,53
35,St. Bonaventure,A10,21,16-5,109.8,93.2,0.8674,49.8,45.5,16.4,19.2,32.8,29,28,28.6,48.9,45.2,34.4,30.7,64.4,1.9
,"   9 seed, R64",,,11–4,46,29,35,180,11,51,140,35,213,263,103,203,23,137,31,322,32
36,Oklahoma St.,B12,30,21-9,108.4,92.2,0.866,51.2,47.1,20.9,19.7,31.4,30.1,37.6,31.3,51.9,46.7,33.2,31.9,72,4.8
,"   4 seed, R32",,,11–7,63,22,36,105,43,273,112,66,254,36,167,83,61,190,73,29,10
37,North Carolina,ACC,29,18-11,109,93,0.8617,48.3,49.1,20.4,19,40.9,26.4,34.2,26.9,48.5,47,31.8,35,71.6,2.4
,"   8 seed, R64",,,10–6,56,26,37,249,125,250,146,1,110,95,60,224,75,260,240,36,25
38,Syracuse,ACC,28,18-10,113.4,96.8,0.8602,51.2,48,16.4,20.2,29.2,34,28.3,24.1,50.6,48.4,34.8,31.7,68.5,0.5
,"   11 seed, Sweet Sixteen",,,9–7,21,70,38,105,73,51,84,122,339,255,23,126,120,114,62,152,46
39,Florida,SEC,25,15-10,110.2,94.4,0.8561,53.1,47.8,21.2,20.2,31,30.6,33.9,35.1,53,48.8,35.6,30.7,68.2,1.2
,"   7 seed, R32",,,9–7,44,39,39,52,63,287,84,75,272,107,259,52,131,79,31,164,40
40,Oklahoma,B12,27,16-11,111.8,95.8,0.8554,50.8,49.1,15.7,18.5,27,27.7,29.3,23.7,50.6,46.3,34.1,35.7,67.1,0.3
,"   8 seed, R32",,,9–8,34,57,40,123,125,23,184,188,158,232,19,126,46,147,269,220,49
41,Missouri,SEC,26,16-10,111.2,95.6,0.8509,50.8,48.5,18.7,18,28.5,28.8,37.1,36.6,52,47.9,32.5,33.1,68.3,2.1
,"   9 seed, R64",,,8–8,36,53,41,123,97,163,217,151,208,42,290,81,104,228,131,162,29
42,Rutgers,B10,28,16-12,106.7,92.1,0.8449,50.1,47.3,16.8,18.9,27.7,29.7,27.1,32.4,51.7,46.7,31.2,32.3,67.4,1.7
,"   10 seed, R32",,,10–10,94,20,42,165,47,66,154,174,243,281,192,89,61,285,87,205,36
43,VCU,A10,26,19-7,104.5,90.3,0.8424,50.9,45.8,20.7,23.6,28.5,31.4,34,35.4,51.7,45.9,32.9,30.5,69.8,1
,"   10 seed, R64",,,10–4,122,6,43,121,16,262,9,151,289,103,270,89,37,210,24,97,42
44,Clemson,ACC,24,16-8,105.9,91.5,0.842,50,48.7,19.4,21.6,26.6,26.9,23.2,28.9,48.6,47.7,34.5,33.4,64.2,2.9
,"   7 seed, R64",,,10–6,106,16,44,169,108,191,45,202,137,337,112,218,96,134,142,325,23
45,Penn St.,B10,25,14-Nov,111.1,96.2,0.8405,47.9,53,16.3,19.7,31.9,24.8,27.8,33.5,45.8,53.9,33.8,34.5,68.9,-0.6
,,,,7–12,37,62,45,264,289,44,112,58,57,272,216,300,301,162,219,134,58
46,Utah St.,MWC,28,20-9,104.3,90.3,0.8396,49.8,45.6,20.1,19.5,35.3,21.4,29.2,25.6,49.8,42.9,33.2,33.2,68.7,-1.1
,"   11 seed, R64",,,15–4,126,7,46,180,13,234,126,12,5,235,40,165,4,190,135,136,67
47,Kentucky,SEC,25,16-Sep,108.3,93.8,0.8394,47.1,46.7,19.8,17.9,32.6,30.5,34.5,29.7,45.5,46.6,33.7,31.2,68.1,-4.2
,,,,8–9,67,34,47,288,33,218,224,39,267,87,134,309,55,169,46,170,135
48,Mississippi,SEC,28,16-12,106.1,91.9,0.8387,48.7,48.4,20.7,22.4,34.7,27.3,34.2,33.7,50.4,45.8,30,35.3,65,-1.3
,,,,10–8,100,19,48,226,92,262,22,19,147,95,226,135,31,312,253,306,71
49,Utah,P12,25,13-Dec,112.6,97.5,0.8385,53.1,51.2,18.4,19.6,23.6,29.5,28.8,27.3,53,49.6,35.5,36,67.3,-2
,,,,8–11,27,86,49,52,220,145,121,288,233,241,66,52,159,85,281,209,79
50,Virginia Tech,ACC,22,15-7,109.5,95,0.8366,52.3,48.9,17.3,17.9,27.8,24.4,33.4,31.9,51.6,48.3,35.4,33.2,66.1,0.9
,"   10 seed, R64",,,9–4,54,47,50,73,118,90,224,172,45,120,182,95,115,88,135,268,45
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
51,North Carolina St.,ACC,25,14-11,110.8,96.5,0.8307,53,51.3,18.8,21.6,29.6,31.6,31.1,28.6,52.6,51.2,35.8,34.3,67.7,-1.5
,,,,9–8,39,65,51,56,223,167,45,113,295,180,103,66,235,72,203,198,73
52,Georgetown,BE,26,13-13,108.7,94.7,0.8295,49.4,48.9,21.5,16.2,32.2,26.9,30.8,25.9,46.1,47.8,36.5,33.8,69.6,-1.1
,"   12 seed, R64",,,7–9,61,44,52,194,118,299,307,45,137,189,45,294,100,52,169,101,66
53,Oregon St.,P12,32,20-13,111.1,96.8,0.8295,49,48.6,17.6,17.9,29.9,29.9,34.9,38.5,47,50.4,35.1,30.6,65.2,0.4
,"   12 seed, Elite Eight",,,10–10,38,71,53,211,103,102,224,107,248,79,311,274,197,103,28,304,47
54,Saint Louis,A10,21,14-7,109.8,95.7,0.8288,51.6,48.3,17.7,19.9,35.8,22,29.8,36.7,51.3,47,34.8,33.6,68,-0.8
,,,,6–4,48,56,54,92,87,107,100,9,7,216,291,102,75,114,153,177,61
55,Seton Hall,BE,27,14-13,109,95.2,0.8261,50,49.4,18.9,19.2,29.7,29.8,35.7,27.3,51.1,46.6,32.1,36.6,66.9,-1.2
,,,,10–9,57,51,55,169,138,170,140,111,246,67,66,111,55,249,302,233,68
56,Indiana,B10,27,15-Dec,107.8,94.8,0.8146,48.5,48.8,17.2,17.6,25.5,27.4,41.5,33.5,48.5,48.1,32.4,33.4,66.1,-1.3
,,,,7–12,77,45,56,242,114,83,249,240,151,8,216,224,110,231,142,270,70
57,Stanford,P12,27,14-13,105.1,92.8,0.8073,51.4,48.3,21,20.3,25.1,28.7,36.5,27,52.8,46.9,32.2,33.6,69.2,-0.6
,,,,10–10,114,24,57,96,87,280,83,245,203,53,61,60,72,245,153,119,57
58,Providence,BE,26,13-13,107.6,95.2,0.802,48.3,48.6,17.2,16.8,29.1,29.9,31.6,30.1,48.5,50.6,32,29.7,66.5,-2.1
,,,,9–10,82,52,58,249,103,83,288,127,248,165,142,224,208,254,12,252,82
59,Michigan St.,B10,28,15-13,106.8,94.7,0.7999,48.1,48,18.8,15.2,30.5,26.4,31.3,36.8,48.1,48,32.1,32.1,68.4,1.2
,"   11 seed, R68",,,9–11,93,43,59,257,73,167,332,87,110,174,292,238,107,249,81,155,41
60,Mississippi St.,SEC,33,18-15,107,95,0.796,50.2,47.1,22.1,17.2,35.8,27.5,33.7,24.8,49.7,45.8,34.4,32.5,65.5,-3.1
,,,,8–10,92,48,60,164,43,317,267,9,154,113,32,169,31,137,98,290,110
61,Xavier,BE,21,13-8,109.8,97.6,0.7942,52.1,47.6,15.8,16.4,26.8,27.3,25.9,23.5,54.3,45.7,32.5,33.8,68.1,-0.8
,,,,6–7,49,87,61,80,57,29,300,196,147,307,17,30,29,228,169,168,59
62,Louisville,ACC,20,13-7,106.5,95.1,0.7861,47.8,48.4,17.2,16.6,32,26.2,32.1,29.8,48.4,50.3,30.8,30.5,65.9,1.2
,,,,8–5,96,49,62,271,92,83,299,54,102,157,135,229,188,298,24,278,39
63,Richmond,A10,22,14-9,109.7,98.1,0.7844,53.1,52.2,15,21.6,20.3,28.7,31.3,29.3,53.5,54.9,34.8,31.8,68.6,-1.6
,,,,6–5,50,91,63,52,262,7,45,332,203,174,119,43,320,114,66,147,75
64,Marquette,BE,27,13-14,107.4,96.1,0.781,50.6,47.7,20.9,15.9,29.1,28.3,35,30,51.9,45.8,32.3,33.9,67.7,-2.2
,,,,8–11,86,59,64,132,58,273,321,127,186,78,140,83,31,238,177,197,84
65,SMU,Amer,17,6-Nov,108.7,97.4,0.7809,52.2,47.3,19.8,20.2,30.1,29.2,31.2,35.2,51.9,43.9,35,35.2,69.3,0.2
,,,,7–4,60,80,65,77,47,218,84,99,223,178,263,83,9,108,246,113,50
66,Minnesota,B10,29,14-15,107.2,96.2,0.7762,45,49.7,15.6,19,29.2,31.4,36.7,34.3,46.7,48.3,28.4,35.2,70.2,-1.2
,,,,6–14,88,61,66,329,153,18,146,122,289,50,244,280,115,339,246,84,69
67,St. John's,BE,27,16-11,110.3,99,0.7761,50.4,52.6,16.8,21.9,29.2,30.3,28.6,31.8,49.8,53.3,34.4,34.2,73.6,-0.8
,,,,10–9,43,108,67,148,276,66,39,122,261,246,180,165,285,137,195,8,60
68,Boise St.,MWC,27,19-9,107.9,96.9,0.7754,52.3,49.2,16.8,19.9,26.8,23.5,34.1,28,52.2,48.9,34.9,33.1,68.9,-0.8
,,,,14–6,73,72,68,73,130,66,100,196,23,99,88,74,132,111,131,132,62
69,Wichita St.,Amer,20,16-6,108.4,97.3,0.775,47.1,47,15.8,18.2,29.8,33.3,38.2,29.2,44.6,47.2,33.8,31.1,67,1.3
,"   11 seed, R68",,,11–2,66,78,69,288,39,29,202,109,332,26,117,323,82,162,45,226,38
70,UC Santa Barbara,BW,25,22-5,108.4,97.5,0.7714,52.6,47.8,16.4,20.5,28.2,24.3,35.3,27.3,53.2,47,34.3,33.1,65.3,0.1
,"   12 seed, R64",,,15–3,65,84,70,62,63,51,76,157,39,75,66,48,75,143,131,294,52
71,Auburn,SEC,27,13-14,110.2,99.2,0.7709,51.2,49.6,21.9,18.5,35,31.7,36.2,31.6,53.1,49.9,32.6,32.7,70.9,-2.3
,,,,7–11,45,111,71,105,145,314,184,14,299,60,174,51,171,224,109,58,85
72,Washington St.,P12,27,14-13,102.4,92.2,0.7699,47.9,46.6,21.6,18.5,30.7,26,34.7,32.7,45.7,46.4,34.1,31.3,67.7,-2.7
,,,,7–12,165,21,72,264,32,303,184,83,94,82,201,303,51,147,50,192,94
73,Buffalo,MAC,24,16-9,107.3,96.6,0.7695,51.2,46.3,18.5,17.5,37.3,27.1,29.8,28.5,51.3,48,33.9,28.6,73.1,-3.4
,,,,12–5,87,67,73,105,25,150,254,5,142,216,100,102,107,158,6,15,117
74,Ohio,MAC,24,17-8,110.5,99.6,0.7678,54.7,50.8,17.1,19.2,28.6,26.6,29.3,29.3,55.5,51.1,35.6,33.6,69.1,-2
,"   13 seed, R32",,,9–5,41,120,74,24,199,78,140,147,122,232,119,12,228,79,153,123,80
75,Toledo,MAC,30,21-9,112.9,102,0.7638,54,48.5,15.6,17.4,29.7,30.8,28.5,23.7,52.5,51.1,37.2,29.8,68.7,-2
,,,,15–4,24,165,75,36,97,18,260,111,276,250,19,68,228,30,14,140,81
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
76,Saint Mary's,WCC,24,14-10,99.8,90.3,0.7596,47.9,47.7,17,18.4,25.7,22,27.7,28,50.1,45.8,29.4,35.2,63.4,-0.6
,,,,4–6,215,5,76,264,58,76,191,237,7,276,88,149,31,326,246,337,56
77,Northwestern,B10,23,15-Sep,103.7,94.1,0.7535,50.3,50.2,17.2,17.9,19.9,25.9,26.8,33.7,49.1,50.5,34.6,33.2,68.3,-3.1
,,,,6–13,131,36,77,157,178,83,224,335,91,292,226,192,204,127,135,159,106
78,Davidson,A10,21,13-9,112.5,102.1,0.7528,55.3,50,17.3,16.1,28.1,22.4,26.9,28.6,56.9,49.7,35.7,33.7,62.9,-2.3
,,,,7–4,29,172,78,15,169,90,311,162,13,287,103,8,161,76,163,339,86
79,Drake,MVC,29,26-5,110.8,100.6,0.7517,53.4,48.3,15.3,18.4,32,25.2,24.6,29.9,52.9,49.8,36.4,30.4,66.2,1.8
,"   11 seed, R64",,,15–3,40,139,79,44,87,12,191,54,67,324,138,56,166,55,23,263,35
80,Colgate,Pat,16,14-2,110.4,100.4,0.7496,56.6,45.8,14.7,16.3,28.2,25.3,30.9,26.3,54.4,49.4,40.3,26.4,71.7,0.4
,"   14 seed, R64",,,11–1,42,135,80,5,16,5,304,157,72,187,48,27,151,3,1,33,48
81,North Texas,CUSA,27,18-10,105.8,96.2,0.749,53.8,46.4,19.9,20.9,28,27.7,27,30.6,52.7,45.1,37.2,32.6,62.9,-2.4
,"   13 seed, R32",,,9–5,107,60,81,40,28,223,59,165,158,285,156,63,20,30,104,341,89
82,Wright St.,Horz,24,18-6,107,97.3,0.7488,54.4,45.1,18,16.7,34.2,25.1,34.5,21.8,53.8,44.8,37,30.6,71.1,-3.5
,,,,16–4,91,77,82,29,9,120,295,25,63,87,4,39,14,40,28,52,118
83,Arizona St.,P12,25,14-Nov,108.2,98.6,0.7443,49.2,52.5,15,20.7,21.4,30.1,33.3,36.1,48.8,51.5,33.3,36.2,72.7,-2.9
,,,,7–10,69,97,83,204,272,7,69,325,254,123,282,208,245,181,286,19,101
84,Louisiana Tech,CUSA,31,24-8,103.5,94.6,0.739,50.5,46.3,18.2,19.2,26.9,24.1,34.8,27.3,49.6,46.5,34.8,30.7,69.4,-1.6
,,,,12–4,135,41,84,138,25,131,140,192,34,80,66,174,54,114,31,109,74
85,Colorado St.,MWC,27,20-8,107,97.8,0.7384,54.1,48.9,19.7,20,24.1,26.7,32.8,26.3,55.1,50.9,35.2,30.9,68.7,0.1
,,,,14–4,89,88,85,34,118,211,97,271,127,140,48,21,221,99,37,137,51
86,Notre Dame,ACC,26,15-Nov,113.3,103.5,0.7384,53.9,50.8,15.7,12.8,22,29.8,25.9,19.7,52.9,48.5,36.8,36.6,67.1,-3.7
,,,,7–11,22,204,86,38,199,23,346,317,246,307,1,56,122,44,302,221,122
87,Pepperdine,WCC,25,15-12,108.3,99.5,0.7261,51.2,50,17.7,18.1,23.7,26.5,31.8,34,52.3,54.1,32.9,28.7,71.2,-3.9
,,,,7–6,68,115,87,105,169,107,210,283,115,160,239,73,305,210,7,49,128
88,Nebraska,B10,26,20-Jul,101.6,93.6,0.7197,48.2,49.8,19.7,18.1,23.1,28.9,31,28.4,47.1,52.1,33.2,31.3,71.9,-7
,,,,3–16,179,31,88,253,162,211,210,299,210,182,96,272,260,190,50,31,200
89,UAB,CUSA,27,22-7,102.6,94.6,0.7164,48.6,47,15.6,23.6,29,25.4,29.9,27.1,49.4,46.1,31.1,32.4,67.3,-2.6
,,,,13–5,155,42,89,234,39,18,9,132,75,214,63,181,40,289,90,212,90
90,Western Kentucky,CUSA,29,21-8,106,97.9,0.7136,50.5,49.4,20.4,18.9,31.8,24.2,35.5,22.4,49.9,46,34.5,36.4,67.6,-0.3
,,,,11–3,101,89,90,138,138,250,154,60,37,70,7,158,38,134,294,199,54
91,Eastern Washington,BSky,23,16-8,109.5,101.1,0.7136,54.2,48,16.6,16.1,23.6,25.6,30.5,27.4,54.4,47.8,36,32.1,72,-3.1
,"   14 seed, R64",,,12–3,53,150,91,32,73,56,311,288,80,197,71,27,100,64,81,30,108
92,Dayton,A10,24,14-10,107.8,99.6,0.7135,55.5,48.5,21.2,17.5,23,29,33.7,26.3,55.3,48.7,37.2,32.2,65.2,-2.1
,,,,9–7,78,118,92,13,97,287,254,300,213,113,48,16,128,30,83,298,83
93,Georgia,SEC,25,14-12,107.7,99.8,0.7071,50.7,52.5,21.5,21.6,32.8,32.3,34.3,31.4,51.8,53.3,32.3,34.2,73.1,-2.4
,,,,7–11,79,123,93,128,272,299,45,35,317,93,170,87,285,238,195,14,88
94,Liberty,ASun,25,23-6,109.2,101.1,0.7063,56.9,47.8,16,17.4,23.2,22.8,25.4,30.5,55.8,47.8,38.8,31.8,63.4,-1.7
,"   13 seed, R64",,,11–2,55,149,94,3,63,33,260,295,16,315,153,10,100,9,66,336,76
95,Vanderbilt,SEC,25,16-Sep,108.1,100.3,0.7031,51.2,52.1,19.9,19.8,28.3,28.6,32.9,33.7,50.2,52.9,34.9,33.8,68.3,-6.1
,,,,3–13,70,133,95,105,258,223,106,153,199,138,226,146,278,111,169,161,176
96,Winthrop,BSth,25,23-2,104.7,97.1,0.7027,52.6,49.1,19.3,22,35.3,22.1,35.6,34.4,52.5,49.4,35.2,32.4,73.3,1
,"   12 seed, R64",,,17–1,119,74,96,62,125,185,34,12,10,68,247,68,151,99,90,10,43
97,UCF,Amer,23,12-Nov,106.2,98.7,0.7001,50.1,49.3,21.6,19.5,28.2,31.5,30.7,33.6,47.9,49.4,35.5,32.7,66.8,-3.1
,,,,8–10,98,99,97,165,135,303,126,157,292,191,224,246,151,85,109,237,107
98,Furman,SC,22,16-9,108.5,100.9,0.6976,56.7,51.5,17.8,20.5,26.3,27.4,25.8,28.7,60.8,51.5,34.8,34.3,67.9,-4.6
,,,,10–5,62,143,98,4,231,113,76,217,151,309,108,2,245,114,203,184,146
99,Loyola Marymount,WCC,22,13-9,107.6,100.1,0.697,51.7,50.8,23.4,17.3,32.6,20.7,41.3,34.8,52.2,50.3,33.8,34.5,66.2,-2.3
,,,,7–5,81,129,99,90,199,336,264,39,2,9,255,74,188,162,219,262,87
100,Grand Canyon,WAC,21,17-7,104.4,97.1,0.6961,52.5,45.5,20,16.2,33.6,23.2,33.4,30.1,55.2,45.4,31.8,30.5,64.9,-2.9
,"   15 seed, R64",,,9–3,125,75,100,66,11,227,307,29,19,120,142,17,27,260,24,309,99
RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB
101,Pittsburgh,ACC,22,12-Oct,107.8,100.3,0.6956,48.8,50,18.3,17.5,34.5,26.1,36.9,33.2,47.8,51.1,33.9,32.2,68.5,-3.9
,,,,6–10,76,134,101,223,169,137,254,20,99,46,209,250,228,158,83,151,130
