Robert Morris,104.6640897,105.1664913,0.4862361113,25–8,25,33,51.3,50.3,38.4,30,18.5,18.8,35.3,28.3,68.7,50.7,49.8,34.9,34.2,11.9,9.4,60.7,51.4,36.8,35.6,68.7,,,,2025,,,15,-4.304827606,72,72.6
Seattle,103.9078081,101.9688397,0.5539449357,12–18,12,30,46.5,51.2,42.3,36.7,17,20.9,29.9,27,67.5,46.3,53.3,31.3,31.9,9.7,11.4,51.3,56.3,36.3,38.6,66.7,,,,2025,,,,-12.06551414,71.3,72.1
Villanova,119.3970122,103.4922208,0.8380803674,19–14,19,33,54.9,51.1,28.9,30.1,15.6,16,30.2,27.4,63.5,51.1,50.3,39.8,34.7,7.8,8.6,49,60.9,43.6,45.9,63.9,,,,2025,,,,-2.906235892,80,69.5
Howard,104.0055315,116.1717011,0.2188826383,10–18,10,28,53.5,52.3,35.7,40.9,21.2,16.5,29,33.8,70.8,52.6,53.1,36.6,33.8,7.4,8.3,57,45.5,38.4,33.5,70.4,,,,2025,,,,-13.64491549,76,77.2
Utah St.,121.6921437,104.5226944,0.8518313717,25–7,25,32,56,51.8,37.6,36.2,16,20.2,34.6,30.3,67.3,57.7,52.6,35.8,33.8,9.4,9.5,61.1,58.4,42.3,44.4,68.4,,,,2025,,,10,2.303756917,70.2,71.9
Marist,97.08728477,106.0068465,0.2668286895,20–10,20,30,49.9,46.9,22.4,33.2,18.4,16.4,30.6,25.6,64.2,51.5,44.9,31.4,33.7,9.7,6.9,55.8,45.1,37.6,35.4,64.7,,,,2025,,,,-8.057618685,70.8,72.3
Toledo,110.5917382,117.4793334,0.3329670228,17–15,17,32,50.5,56.4,35.5,26.5,13.7,15.5,29.8,30.9,69.5,50.6,55.9,33.6,38.2,7.1,7.5,46,45.8,28.6,37.5,69.1,,,,2025,,,,-9.085524622,75.7,74.2
Denver,100.1963823,109.4807788,0.265203816,8–21,8,29,50.3,54.3,31.6,49.8,18.5,17.6,26.1,29.1,68,50.5,56.2,33.3,34.1,7.7,7.7,43.5,48.5,36.9,37.9,67.1,,,,2025,,,,-15.87336573,74,73.1
Cal St. Northridge,107.0430765,103.9870379,0.582513084,20–10,20,30,51.8,49.9,35.8,45.1,18.9,20.5,35.4,24.1,72.8,51.5,46.4,35,35.6,10.9,7.7,56.1,62.2,30.8,50.8,73,,,,2025,,,,-4.869096749,73.3,76.9
Maryland,117.9989608,92.35136838,0.9436602503,25–8,25,33,53.8,47,32.9,25.9,14.5,20.2,31,27.2,70.7,52.7,47.6,37.2,30.7,12,6.4,50.4,49.4,35.5,35.8,70.6,,,,2025,,,4,4.561239852,75.5,73.9
